#1:kx	2:ky	3:E1	4:E2
0	0	-2.82843	2.82843
0	0.125664	-2.82564	2.82564
0	0.251327	-2.8173	2.8173
0	0.376991	-2.80349	2.80349
0	0.502655	-2.78435	2.78435
0	0.628319	-2.76008	2.76008
0	0.753982	-2.73092	2.73092
0	0.879646	-2.69719	2.69719
0	1.00531	-2.65926	2.65926
0	1.13097	-2.61755	2.61755
0	1.25664	-2.57255	2.57255
0	1.3823	-2.52483	2.52483
0	1.50796	-2.47499	2.47499
0	1.63363	-2.42372	2.42372
0	1.75929	-2.37176	2.37176
0	1.88496	-2.31991	2.31991
0	2.01062	-2.26902	2.26902
0	2.13628	-2.21999	2.21999
0	2.26195	-2.17374	2.17374
0	2.38761	-2.13121	2.13121
0	2.51327	-2.09331	2.09331
0	2.63894	-2.06092	2.06092
0	2.7646	-2.03481	2.03481
0	2.89027	-2.01565	2.01565
0	3.01593	-2.00394	2.00394
0	3.14159	-2	2
0	3.26726	-2.00394	2.00394
0	3.39292	-2.01565	2.01565
0	3.51858	-2.03481	2.03481
0	3.64425	-2.06092	2.06092
0	3.76991	-2.09331	2.09331
0	3.89557	-2.13121	2.13121
0	4.02124	-2.17374	2.17374
0	4.1469	-2.21999	2.21999
0	4.27257	-2.26902	2.26902
0	4.39823	-2.31991	2.31991
0	4.52389	-2.37176	2.37176
0	4.64956	-2.42372	2.42372
0	4.77522	-2.47499	2.47499
0	4.90088	-2.52483	2.52483
0	5.02655	-2.57255	2.57255
0	5.15221	-2.61755	2.61755
0	5.27788	-2.65926	2.65926
0	5.40354	-2.69719	2.69719
0	5.5292	-2.73092	2.73092
0	5.65487	-2.76008	2.76008
0	5.78053	-2.78435	2.78435
0	5.90619	-2.80349	2.80349
0	6.03186	-2.8173	2.8173
0	6.15752	-2.82564	2.82564

0.125664	0	-2.8173	2.8173
0.125664	0.125664	-2.81467	2.81467
0.125664	0.251327	-2.80683	2.80683
0.125664	0.376991	-2.79384	2.79384
0.125664	0.502655	-2.77585	2.77585
0.125664	0.628319	-2.75303	2.75303
0.125664	0.753982	-2.72565	2.72565
0.125664	0.879646	-2.69399	2.69399
0.125664	1.00531	-2.65841	2.65841
0.125664	1.13097	-2.61933	2.61933
0.125664	1.25664	-2.57721	2.57721
0.125664	1.3823	-2.5326	2.5326
0.125664	1.50796	-2.48607	2.48607
0.125664	1.63363	-2.43827	2.43827
0.125664	1.75929	-2.3899	2.3899
0.125664	1.88496	-2.34172	2.34172
0.125664	2.01062	-2.29451	2.29451
0.125664	2.13628	-2.24911	2.24911
0.125664	2.26195	-2.20637	2.20637
0.125664	2.38761	-2.16714	2.16714
0.125664	2.51327	-2.13224	2.13224
0.125664	2.63894	-2.10246	2.10246
0.125664	2.7646	-2.07849	2.07849
0.125664	2.89027	-2.06092	2.06092
0.125664	3.01593	-2.05019	2.05019
0.125664	3.14159	-2.04658	2.04658
0.125664	3.26726	-2.05019	2.05019
0.125664	3.39292	-2.06092	2.06092
0.125664	3.51858	-2.07849	2.07849
0.125664	3.64425	-2.10246	2.10246
0.125664	3.76991	-2.13224	2.13224
0.125664	3.89557	-2.16714	2.16714
0.125664	4.02124	-2.20637	2.20637
0.125664	4.1469	-2.24911	2.24911
0.125664	4.27257	-2.29451	2.29451
0.125664	4.39823	-2.34172	2.34172
0.125664	4.52389	-2.3899	2.3899
0.125664	4.64956	-2.43827	2.43827
0.125664	4.77522	-2.48607	2.48607
0.125664	4.90088	-2.5326	2.5326
0.125664	5.02655	-2.57721	2.57721
0.125664	5.15221	-2.61933	2.61933
0.125664	5.27788	-2.65841	2.65841
0.125664	5.40354	-2.69399	2.69399
0.125664	5.5292	-2.72565	2.72565
0.125664	5.65487	-2.75303	2.75303
0.125664	5.78053	-2.77585	2.77585
0.125664	5.90619	-2.79384	2.79384
0.125664	6.03186	-2.80683	2.80683
0.125664	6.15752	-2.81467	2.81467

0.251327	0	-2.78435	2.78435
0.251327	0.125664	-2.78222	2.78222
0.251327	0.251327	-2.77585	2.77585
0.251327	0.376991	-2.7653	2.7653
0.251327	0.502655	-2.75071	2.75071
0.251327	0.628319	-2.73224	2.73224
0.251327	0.753982	-2.7101	2.7101
0.251327	0.879646	-2.68456	2.68456
0.251327	1.00531	-2.65592	2.65592
0.251327	1.13097	-2.62455	2.62455
0.251327	1.25664	-2.59085	2.59085
0.251327	1.3823	-2.55528	2.55528
0.251327	1.50796	-2.51831	2.51831
0.251327	1.63363	-2.4805	2.4805
0.251327	1.75929	-2.4424	2.4424
0.251327	1.88496	-2.40463	2.40463
0.251327	2.01062	-2.3678	2.3678
0.251327	2.13628	-2.33256	2.33256
0.251327	2.26195	-2.29955	2.29955
0.251327	2.38761	-2.26939	2.26939
0.251327	2.51327	-2.24268	2.24268
0.251327	2.63894	-2.21999	2.21999
0.251327	2.7646	-2.20179	2.20179
0.251327	2.89027	-2.18848	2.18848
0.251327	3.01593	-2.18037	2.18037
0.251327	3.14159	-2.17765	2.17765
0.251327	3.26726	-2.18037	2.18037
0.251327	3.39292	-2.18848	2.18848
0.251327	3.51858	-2.20179	2.20179
0.251327	3.64425	-2.21999	2.21999
0.251327	3.76991	-2.24268	2.24268
0.251327	3.89557	-2.26939	2.26939
0.251327	4.02124	-2.29955	2.29955
0.251327	4.1469	-2.33256	2.33256
0.251327	4.27257	-2.3678	2.3678
0.251327	4.39823	-2.40463	2.40463
0.251327	4.52389	-2.4424	2.4424
0.251327	4.64956	-2.4805	2.4805
0.251327	4.77522	-2.51831	2.51831
0.251327	4.90088	-2.55528	2.55528
0.251327	5.02655	-2.59085	2.59085
0.251327	5.15221	-2.62455	2.62455
0.251327	5.27788	-2.65592	2.65592
0.251327	5.40354	-2.68456	2.68456
0.251327	5.5292	-2.7101	2.7101
0.251327	5.65487	-2.73224	2.73224
0.251327	5.78053	-2.75071	2.75071
0.251327	5.90619	-2.7653	2.7653
0.251327	6.03186	-2.77585	2.77585
0.251327	6.15752	-2.78222	2.78222

0.376991	0	-2.73092	2.73092
0.376991	0.125664	-2.7296	2.7296
0.376991	0.251327	-2.72565	2.72565
0.376991	0.376991	-2.71912	2.71912
0.376991	0.502655	-2.7101	2.7101
0.376991	0.628319	-2.69871	2.69871
0.376991	0.753982	-2.68509	2.68509
0.376991	0.879646	-2.66943	2.66943
0.376991	1.00531	-2.65195	2.65195
0.376991	1.13097	-2.63287	2.63287
0.376991	1.25664	-2.61249	2.61249
0.376991	1.3823	-2.59108	2.59108
0.376991	1.50796	-2.56896	2.56896
0.376991	1.63363	-2.54648	2.54648
0.376991	1.75929	-2.52397	2.52397
0.376991	1.88496	-2.50181	2.50181
0.376991	2.01062	-2.48034	2.48034
0.376991	2.13628	-2.45994	2.45994
0.376991	2.26195	-2.44096	2.44096
0.376991	2.38761	-2.42372	2.42372
0.376991	2.51327	-2.40855	2.40855
0.376991	2.63894	-2.39572	2.39572
0.376991	2.7646	-2.38548	2.38548
0.376991	2.89027	-2.37802	2.37802
0.376991	3.01593	-2.37348	2.37348
0.376991	3.14159	-2.37196	2.37196
0.376991	3.26726	-2.37348	2.37348
0.376991	3.39292	-2.37802	2.37802
0.376991	3.51858	-2.38548	2.38548
0.376991	3.64425	-2.39572	2.39572
0.376991	3.76991	-2.40855	2.40855
0.376991	3.89557	-2.42372	2.42372
0.376991	4.02124	-2.44096	2.44096
0.376991	4.1469	-2.45994	2.45994
0.376991	4.27257	-2.48034	2.48034
0.376991	4.39823	-2.50181	2.50181
0.376991	4.52389	-2.52397	2.52397
0.376991	4.64956	-2.54648	2.54648
0.376991	4.77522	-2.56896	2.56896
0.376991	4.90088	-2.59108	2.59108
0.376991	5.02655	-2.61249	2.61249
0.376991	5.15221	-2.63287	2.63287
0.376991	5.27788	-2.65195	2.65195
0.376991	5.40354	-2.66943	2.66943
0.376991	5.5292	-2.68509	2.68509
0.376991	5.65487	-2.69871	2.69871
0.376991	5.78053	-2.7101	2.7101
0.376991	5.90619	-2.71912	2.71912
0.376991	6.03186	-2.72565	2.72565
0.376991	6.15752	-2.7296	2.7296

0.502655	0	-2.65926	2.65926
0.502655	0.125664	-2.65905	2.65905
0.502655	0.251327	-2.65841	2.65841
0.502655	0.376991	-2.65737	2.65737
0.502655	0.502655	-2.65592	2.65592
0.502655	0.628319	-2.65411	2.65411
0.502655	0.753982	-2.65195	2.65195
0.502655	0.879646	-2.64947	2.64947
0.502655	1.00531	-2.64672	2.64672
0.502655	1.13097	-2.64374	2.64374
