#1:tx	2:ty	3:weight
0	0	0.012444
0	0.314159	0.0123329
0	0.628319	0.012047
0	0.942478	0.011712
0	1.25664	0.0114855
0	1.5708	0.0114858
0	1.88496	0.0117326
0	2.19911	0.0121412
0	2.51327	0.0125724
0	2.82743	0.0128921
0	3.14159	0.0130092
0	3.45575	0.0128921
0	3.76991	0.0125724
0	4.08407	0.0121412
0	4.39823	0.0117326
0	4.71239	0.0114858
0	5.02655	0.0114855
0	5.34071	0.011712
0	5.65487	0.012047
0	5.96903	0.0123329

0.314159	0	0.0123329
0.314159	0.314159	0.0122246
0.314159	0.628319	0.0119461
0.314159	0.942478	0.0116211
0.314159	1.25664	0.0114045
0.314159	1.5708	0.0114119
0.314159	1.88496	0.0116616
0.314159	2.19911	0.0120698
0.314159	2.51327	0.0124988
0.314159	2.82743	0.0128164
0.314159	3.14159	0.0129327
0.314159	3.45575	0.0128164
0.314159	3.76991	0.0124988
0.314159	4.08407	0.0120698
0.314159	4.39823	0.0116616
0.314159	4.71239	0.0114119
0.314159	5.02655	0.0114045
0.314159	5.34071	0.0116211
0.314159	5.65487	0.0119461
0.314159	5.96903	0.0122246

0.628319	0	0.012047
0.628319	0.314159	0.0119461
0.628319	0.628319	0.0116877
0.628319	0.942478	0.0113901
0.628319	1.25664	0.0112001
0.628319	1.5708	0.0112262
0.628319	1.88496	0.0114835
0.628319	2.19911	0.0118897
0.628319	2.51327	0.0123124
0.628319	2.82743	0.012624
0.628319	3.14159	0.0127379
0.628319	3.45575	0.012624
0.628319	3.76991	0.0123124
0.628319	4.08407	0.0118897
0.628319	4.39823	0.0114835
0.628319	4.71239	0.0112262
0.628319	5.02655	0.0112001
0.628319	5.34071	0.0113901
0.628319	5.65487	0.0116877
0.628319	5.96903	0.0119461

0.942478	0	0.011712
0.942478	0.314159	0.0116211
0.942478	0.628319	0.0113901
0.942478	0.942478	0.0111293
0.942478	1.25664	0.0109744
0.942478	1.5708	0.0110241
0.942478	1.88496	0.0112893
0.942478	2.19911	0.0116909
0.942478	2.51327	0.0121033
0.942478	2.82743	0.0124057
0.942478	3.14159	0.0125161
0.942478	3.45575	0.0124057
0.942478	3.76991	0.0121033
0.942478	4.08407	0.0116909
0.942478	4.39823	0.0112893
