#1:n	2:kx	3:s(n,kx)
0	0	6.82597e-16
0	1	7.77203e-16
0	2	7.90616e-16
0	3	7.84959e-16
0	4	7.6411e-16
0	5	8.03067e-16
0	6	8.19796e-16
0	7	8.08488e-16
0	8	7.96264e-16
0	9	7.75053e-16
0	10	7.90333e-16
0	11	7.91684e-16
0	12	7.85749e-16
0	13	7.77888e-16
0	14	7.78252e-16
0	15	7.87571e-16
0	16	7.93085e-16
0	17	7.71981e-16
0	18	7.33203e-16
0	19	7.91806e-16
0	20	7.04057e-16
0	21	7.62506e-16
0	22	7.66061e-16
0	23	8.02279e-16
0	24	7.86658e-16
0	25	7.8904e-16
0	26	8.11732e-16
0	27	7.91723e-16
0	28	7.77693e-16
0	29	7.9183e-16
0	30	8.47909e-16
0	31	7.47406e-16
0	32	8.26967e-16
0	33	7.94245e-16
0	34	7.81572e-16
0	35	7.90313e-16
0	36	8.13341e-16
0	37	8.05533e-16
0	38	8.21107e-16
0	39	8.13803e-16

1	0	7.96717e-16
1	1	8.16907e-16
1	2	8.22258e-16
1	3	8.19102e-16
1	4	8.48029e-16
1	5	8.41425e-16
1	6	8.4713e-16
1	7	8.35901e-16
1	8	8.41201e-16
1	9	8.64104e-16
1	10	8.33326e-16
1	11	8.48585e-16
1	12	8.40059e-16
1	13	8.31782e-16
1	14	8.44852e-16
1	15	8.19767e-16
1	16	8.07593e-16
1	17	7.95033e-16
1	18	7.80844e-16
1	19	8.1116e-16
1	20	7.7754e-16
1	21	8.06944e-16
1	22	8.19229e-16
1	23	8.18335e-16
1	24	8.07395e-16
1	25	8.26138e-16
1	26	8.14176e-16
1	27	8.51963e-16
1	28	8.40412e-16
1	29	8.42371e-16
1	30	8.4921e-16
1	31	8.23422e-16
1	32	8.4543e-16
1	33	8.37026e-16
1	34	8.59707e-16
1	35	8.55713e-16
1	36	8.26331e-16
1	37	8.4067e-16
1	38	8.29783e-16
1	39	8.33275e-16

2	0	7.96979e-16
2	1	8.37509e-16
2	2	8.28374e-16
2	3	8.32891e-16
2	4	8.52295e-16
2	5	8.47283e-16
2	6	8.58668e-16
2	7	8.39343e-16
2	8	8.57778e-16
2	9	8.72835e-16
2	10	8.47713e-16
2	11	8.53416e-16
2	12	8.5133e-16
2	13	8.50493e-16
2	14	8.46635e-16
2	15	8.29051e-16
2	16	8.27135e-16
2	17	8.07894e-16
2	18	8.14686e-16
2	19	8.11544e-16
2	20	7.89319e-16
2	21	8.1196e-16
2	22	8.31966e-16
2	23	8.25647e-16
2	24	8.25445e-16
2	25	8.33248e-16
2	26	8.15819e-16
2	27	8.62088e-16
2	28	8.50393e-16
2	29	8.55686e-16
2	30	8.56721e-16
2	31	8.79127e-16
2	32	8.56005e-16
2	33	8.52753e-16
2	34	8.61033e-16
2	35	8.58859e-16
2	36	8.49367e-16
2	37	8.41941e-16
2	38	8.30817e-16
2	39	8.36983e-16

3	0	8.1226e-16
3	1	8.38769e-16
3	2	8.3906e-16
3	3	8.47116e-16
3	4	8.5636e-16
3	5	8.47457e-16
3	6	8.62792e-16
3	7	8.48298e-16
3	8	8.61186e-16
3	9	8.73078e-16
3	10	8.48255e-16
3	11	8.56707e-16
3	12	8.5911e-16
3	13	8.52215e-16
3	14	8.46748e-16
3	15	8.3326e-16
3	16	8.29579e-16
3	17	8.11741e-16
3	18	8.16682e-16
3	19	8.12963e-16
3	20	7.95149e-16
3	21	8.13587e-16
3	22	8.33601e-16
3	23	8.30867e-16
3	24	8.26116e-16
3	25	8.34592e-16
3	26	8.23982e-16
3	27	8.63278e-16
3	28	8.56885e-16
3	29	8.61421e-16
3	30	8.62197e-16
3	31	8.80322e-16
3	32	8.57556e-16
3	33	8.62531e-16
3	34	8.6456e-16
3	35	8.59696e-16
3	36	8.57089e-16
3	37	8.48929e-16
3	38	8.47838e-16
3	39	8.37169e-16

4	0	8.12771e-16
4	1	8.41949e-16
4	2	8.49409e-16
4	3	8.47332e-16
4	4	8.64517e-16
4	5	8.48308e-16
4	6	8.64629e-16
4	7	8.56294e-16
4	8	8.69499e-16
4	9	8.73578e-16
4	10	8.60825e-16
