#1:n	2:kx	3:s(n,kx)
0	0	9.96432e-16
0	1	1.00502e-15
0	2	1.06641e-15
0	3	9.77368e-16
0	4	1.05967e-15
0	5	9.63089e-16
0	6	1.0643e-15
0	7	1.02356e-15
0	8	1.01656e-15
0	9	1.07751e-15
0	10	9.97304e-16
0	11	1.08601e-15
0	12	1.09195e-15
0	13	1.11021e-15
0	14	1.09227e-15
0	15	1.04484e-15
0	16	1.01873e-15
0	17	1.05589e-15
0	18	1.04873e-15
0	19	1.09074e-15
0	20	1.11279e-15
0	21	1.12011e-15
0	22	1.07961e-15
0	23	1.01781e-15
0	24	1.03419e-15
0	25	1.03856e-15
0	26	1.0823e-15
0	27	1.04115e-15
0	28	1.04085e-15
0	29	1.07538e-15
0	30	1.03095e-15
0	31	1.05997e-15
0	32	1.02662e-15
0	33	1.07096e-15
0	34	1.02766e-15
0	35	1.05699e-15
0	36	1.03372e-15
0	37	1.01168e-15
0	38	1.02681e-15
0	39	1.08511e-15
0	40	1.07801e-15
0	41	1.08668e-15
0	42	1.06095e-15
0	43	1.03887e-15
0	44	1.08822e-15
0	45	1.07936e-15
0	46	1.08676e-15
0	47	1.08679e-15
0	48	1.03827e-15
0	49	1.08315e-15
0	50	1.05524e-15
0	51	1.06928e-15
0	52	1.08274e-15
0	53	1.08376e-15
0	54	1.08071e-15
0	55	1.07569e-15
0	56	1.02687e-15
0	57	1.05384e-15
0	58	1.04454e-15
0	59	1.0674e-15
0	60	1.00927e-15
0	61	1.06122e-15
0	62	1.08227e-15
0	63	1.09966e-15
0	64	1.06468e-15
0	65	1.04807e-15
0	66	1.04033e-15
0	67	1.04943e-15
0	68	1.01663e-15
0	69	1.07024e-15
0	70	1.08074e-15
0	71	1.02668e-15
0	72	1.04372e-15
0	73	1.06527e-15
0	74	1.09261e-15
0	75	1.04517e-15
0	76	1.06233e-15
0	77	1.05874e-15
0	78	1.12182e-15
0	79	1.11434e-15
0	80	1.14816e-15
0	81	1.12293e-15
0	82	1.08131e-15
0	83	1.05251e-15
0	84	1.02904e-15
0	85	1.08105e-15
0	86	1.07379e-15
0	87	1.14534e-15
0	88	1.15321e-15
0	89	1.1432e-15
0	90	1.14199e-15
0	91	1.07063e-15
0	92	1.05112e-15
0	93	1.08349e-15
0	94	1.06847e-15
0	95	1.0575e-15
0	96	1.10166e-15
0	97	1.0788e-15
0	98	1.14035e-15
0	99	1.10203e-15

1	0	1.00008e-15
1	1	1.07759e-15
1	2	1.06798e-15
1	3	1.0832e-15
1	4	1.07673e-15
1	5	1.07252e-15
1	6	1.06437e-15
1	7	1.06502e-15
1	8	1.08241e-15
1	9	1.09511e-15
1	10	1.08236e-15
1	11	1.09707e-15
1	12	1.09375e-15
1	13	1.11186e-15
1	14	1.10321e-15
1	15	1.0843e-15
1	16	1.09868e-15
1	17	1.09244e-15
1	18	1.08678e-15
1	19	1.09997e-15
1	20	1.11427e-15
1	21	1.12039e-15
1	22	1.09876e-15
1	23	1.07953e-15
1	24	1.10187e-15
1	25	1.10124e-15
1	26	1.10633e-15
1	27	1.10496e-15
1	28	1.10532e-15
1	29	1.10141e-15
1	30	1.10859e-15
1	31	1.09219e-15
1	32	1.098e-15
1	33	1.07886e-15
1	34	1.0932e-15
1	35	1.08604e-15
1	36	1.08133e-15
1	37	1.10023e-15
1	38	1.09196e-15
1	39	1.08604e-15
1	40	1.08004e-15
1	41	1.08737e-15
1	42	1.07767e-15
1	43	1.07811e-15
1	44	1.09567e-15
1	45	1.08288e-15
1	46	1.08945e-15
1	47	1.08966e-15
1	48	1.07054e-15
1	49	1.08602e-15
1	50	1.05584e-15
1	51	1.07952e-15
1	52	1.08721e-15
1	53	1.08657e-15
1	54	1.08293e-15
1	55	1.08111e-15
1	56	1.07091e-15
1	57	1.0616e-15
1	58	1.04567e-15
1	59	1.08017e-15
1	60	1.06611e-15
1	61	1.07458e-15
1	62	1.08279e-15
1	63	1.10276e-15
1	64	1.08871e-15
1	65	1.08687e-15
1	66	1.10178e-15
1	67	1.11425e-15
1	68	1.08444e-15
1	69	1.1079e-15
1	70	1.0994e-15
1	71	1.09874e-15
1	72	1.10038e-15
1	73	1.11595e-15
1	74	1.11158e-15
1	75	1.10254e-15
1	76	1.11195e-15
1	77	1.10821e-15
1	78	1.12611e-15
1	79	1.1242e-15
1	80	1.14832e-15
1	81	1.13129e-15
1	82	1.13402e-15
1	83	1.12406e-15
1	84	1.1309e-15
1	85	1.14865e-15
1	86	1.14633e-15
1	87	1.14781e-15
1	88	1.15974e-15
1	89	1.16299e-15
1	90	1.14766e-15
1	91	1.14926e-15
1	92	1.14531e-15
1	93	1.15645e-15
1	94	1.16323e-15
1	95	1.15372e-15
1	96	1.15312e-15
1	97	1.13643e-15
1	98	1.1494e-15
1	99	1.13876e-15

2	0	1.00553e-15
2	1	1.07817e-15
2	2	1.07304e-15
2	3	1.08478e-15
2	4	1.07902e-15
2	5	1.07424e-15
2	6	1.07805e-15
2	7	1.08224e-15
2	8	1.0962e-15
2	9	1.09534e-15
2	10	1.08986e-15
2	11	1.10048e-15
2	12	1.09569e-15
2	13	1.11557e-15
2	14	1.10507e-15
2	15	1.0911e-15
2	16	1.1135e-15
2	17	1.09549e-15
2	18	1.09934e-15
2	19	1.10974e-15
2	20	1.11786e-15
2	21	1.12137e-15
2	22	1.1064e-15
2	23	1.11033e-15
2	24	1.10383e-15
2	25	1.10707e-15
2	26	1.11146e-15
2	27	1.10503e-15
2	28	1.11184e-15
2	29	1.1123e-15
2	30	1.11344e-15
2	31	1.1043e-15
2	32	1.10958e-15
2	33	1.07911e-15
2	34	1.09827e-15
2	35	1.09072e-15
2	36	1.08273e-15
2	37	1.10125e-15
2	38	1.09435e-15
2	39	1.08726e-15
2	40	1.08012e-15
2	41	1.08916e-15
2	42	1.08346e-15
2	43	1.08713e-15
2	44	1.09949e-15
2	45	1.08853e-15
2	46	1.09088e-15
2	47	1.10108e-15
2	48	1.08383e-15
2	49	1.08998e-15
2	50	1.06552e-15
2	51	1.08055e-15
2	52	1.08756e-15
2	53	1.09668e-15
2	54	1.09019e-15
2	55	1.08692e-15
2	56	1.08181e-15
2	57	1.06168e-15
2	58	1.08008e-15
2	59	1.08174e-15
2	60	1.07695e-15
2	61	1.07704e-15
2	62	1.08741e-15
2	63	1.10425e-15
2	64	1.08961e-15
2	65	1.09237e-15
2	66	1.10433e-15
2	67	1.12134e-15
2	68	1.09168e-15
2	69	1.10994e-15
2	70	1.10284e-15
2	71	1.11018e-15
2	72	1.10636e-15
2	73	1.11939e-15
2	74	1.12071e-15
2	75	1.11419e-15
2	76	1.11748e-15
2	77	1.11675e-15
2	78	1.13008e-15
2	79	1.12615e-15
2	80	1.1504e-15
2	81	1.13473e-15
2	82	1.13465e-15
2	83	1.13828e-15
2	84	1.13627e-15
2	85	1.14868e-15
2	86	1.14712e-15
2	87	1.1488e-15
2	88	1.15999e-15
2	89	1.16437e-15
2	90	1.15221e-15
2	91	1.16026e-15
2	92	1.15747e-15
2	93	1.15877e-15
2	94	1.1675e-15
2	95	1.16361e-15
2	96	1.16293e-15
2	97	1.1656e-15
2	98	1.171e-15
2	99	1.16882e-15

3	0	1.0088e-15
3	1	1.07856e-15
3	2	1.08334e-15
3	3	1.08848e-15
3	4	1.08966e-15
3	5	1.07765e-15
3	6	1.08155e-15
3	7	1.08544e-15
3	8	1.09701e-15
3	9	1.10285e-15
3	10	1.09363e-15
3	11	1.10456e-15
3	12	1.10198e-15
3	13	1.11628e-15
3	14	1.10671e-15
3	15	1.10356e-15
3	16	1.11621e-15
3	17	1.09906e-15
3	18	1.10153e-15
3	19	1.10987e-15
3	20	1.11978e-15
3	21	1.12341e-15
3	22	1.11223e-15
3	23	1.11251e-15
3	24	1.11972e-15
3	25	1.11006e-15
3	26	1.11625e-15
3	27	1.10526e-15
3	28	1.11258e-15
3	29	1.1169e-15
3	30	1.11599e-15
3	31	1.11307e-15
3	32	1.11009e-15
3	33	1.07932e-15
3	34	1.09858e-15
3	35	1.09211e-15
3	36	1.09881e-15
3	37	1.10521e-15
3	38	1.09585e-15
3	39	1.08854e-15
3	40	1.08406e-15
3	41	1.08922e-15
3	42	1.09193e-15
3	43	1.09042e-15
3	44	1.10276e-15
3	45	1.09406e-15
3	46	1.09899e-15
3	47	1.10132e-15
3	48	1.08667e-15
3	49	1.09338e-15
3	50	1.0772e-15
3	51	1.08247e-15
3	52	1.09213e-15
3	53	1.10345e-15
3	54	1.09331e-15
3	55	1.09042e-15
3	56	1.08269e-15
3	57	1.06341e-15
3	58	1.08354e-15
3	59	1.0845e-15
3	60	1.07825e-15
3	61	1.08429e-15
3	62	1.09019e-15
3	63	1.10574e-15
3	64	1.08975e-15
3	65	1.10585e-15
3	66	1.11225e-15
3	67	1.12295e-15
3	68	1.10605e-15
3	69	1.11233e-15
3	70	1.10597e-15
3	71	1.11191e-15
3	72	1.11562e-15
3	73	1.12165e-15
3	74	1.12603e-15
3	75	1.11853e-15
3	76	1.12375e-15
3	77	1.12835e-15
3	78	1.1346e-15
3	79	1.12841e-15
3	80	1.15267e-15
3	81	1.13976e-15
3	82	1.14348e-15
3	83	1.14034e-15
3	84	1.14005e-15
3	85	1.15076e-15
3	86	1.1497e-15
3	87	1.16061e-15
3	88	1.16013e-15
3	89	1.16568e-15
3	90	1.15313e-15
3	91	1.16818e-15
3	92	1.16329e-15
3	93	1.1673e-15
3	94	1.16884e-15
3	95	1.16946e-15
3	96	1.16575e-15
3	97	1.16685e-15
3	98	1.17657e-15
3	99	1.17435e-15

4	0	1.01479e-15
4	1	1.08352e-15
4	2	1.08351e-15
4	3	1.08912e-15
4	4	1.09474e-15
4	5	1.07774e-15
4	6	1.08778e-15
4	7	1.09233e-15
4	8	1.09925e-15
4	9	1.10296e-15
4	10	1.1036e-15
4	11	1.10714e-15
4	12	1.10809e-15
4	13	1.11679e-15
4	14	1.11017e-15
4	15	1.10696e-15
4	16	1.11878e-15
4	17	1.10718e-15
4	18	1.10495e-15
4	19	1.11018e-15
4	20	1.11995e-15
4	21	1.12563e-15
4	22	1.11609e-15
4	23	1.11395e-15
4	24	1.12038e-15
4	25	1.11324e-15
4	26	1.12116e-15
4	27	1.10557e-15
4	28	1.11774e-15
4	29	1.12264e-15
4	30	1.11734e-15
4	31	1.11417e-15
4	32	1.11164e-15
4	33	1.10341e-15
4	34	1.1046e-15
4	35	1.0968e-15
4	36	1.1002e-15
4	37	1.10799e-15
4	38	1.09634e-15
4	39	1.09152e-15
4	40	1.08464e-15
4	41	1.08922e-15
4	42	1.09394e-15
4	43	1.09314e-15
4	44	1.10289e-15
4	45	1.10446e-15
4	46	1.09938e-15
4	47	1.10373e-15
4	48	1.08957e-15
4	49	1.10434e-15
4	50	1.07807e-15
4	51	1.09492e-15
4	52	1.0936e-15
4	53	1.10858e-15
4	54	1.09384e-15
4	55	1.09183e-15
4	56	1.08702e-15
4	57	1.08049e-15
4	58	1.0854e-15
4	59	1.08758e-15
4	60	1.08338e-15
4	61	1.08811e-15
4	62	1.09408e-15
4	63	1.10672e-15
4	64	1.09159e-15
4	65	1.10677e-15
4	66	1.11555e-15
4	67	1.12608e-15
4	68	1.11195e-15
4	69	1.11444e-15
4	70	1.10941e-15
4	71	1.11568e-15
4	72	1.12321e-15
4	73	1.12282e-15
4	74	1.13179e-15
4	75	1.12787e-15
4	76	1.13353e-15
4	77	1.12947e-15
4	78	1.13808e-15
4	79	1.14107e-15
4	80	1.15369e-15
4	81	1.14222e-15
4	82	1.14404e-15
4	83	1.14221e-15
4	84	1.14393e-15
4	85	1.15536e-15
4	86	1.15232e-15
4	87	1.1608e-15
4	88	1.16249e-15
4	89	1.17007e-15
4	90	1.16191e-15
4	91	1.17552e-15
4	92	1.16597e-15
4	93	1.16751e-15
4	94	1.17083e-15
4	95	1.17123e-15
4	96	1.16622e-15
4	97	1.16924e-15
4	98	1.179e-15
4	99	1.17897e-15

5	0	1.01493e-15
5	1	1.0854e-15
5	2	1.08439e-15
5	3	1.08988e-15
5	4	1.09644e-15
5	5	1.08584e-15
5	6	1.08967e-15
5	7	1.09883e-15
5	8	1.10609e-15
5	9	1.1084e-15
5	10	1.10385e-15
5	11	1.10743e-15
5	12	1.10862e-15
5	13	1.12044e-15
5	14	1.1145e-15
5	15	1.11076e-15
5	16	1.12142e-15
5	17	1.10855e-15
5	18	1.11513e-15
5	19	1.11191e-15
5	20	1.12213e-15
5	21	1.12629e-15
5	22	1.11968e-15
5	23	1.12082e-15
5	24	1.12431e-15
5	25	1.11597e-15
5	26	1.12209e-15
5	27	1.11711e-15
5	28	1.12213e-15
5	29	1.12615e-15
5	30	1.11822e-15
5	31	1.11532e-15
5	32	1.11371e-15
5	33	1.10673e-15
5	34	1.10657e-15
5	35	1.09964e-15
5	36	1.10072e-15
5	37	1.10988e-15
5	38	1.09655e-15
5	39	1.09444e-15
5	40	1.08934e-15
5	41	1.08961e-15
5	42	1.0964e-15
5	43	1.09682e-15
5	44	1.10923e-15
5	45	1.10462e-15
5	46	1.09958e-15
5	47	1.10534e-15
5	48	1.09946e-15
5	49	1.10738e-15
5	50	1.08226e-15
5	51	1.09697e-15
5	52	1.09478e-15
5	53	1.1104e-15
5	54	1.09499e-15
5	55	1.09615e-15
5	56	1.08733e-15
5	57	1.08587e-15
5	58	1.08635e-15
5	59	1.0877e-15
5	60	1.08806e-15
5	61	1.08917e-15
5	62	1.09741e-15
5	63	1.10698e-15
5	64	1.0961e-15
5	65	1.10741e-15
5	66	1.11589e-15
5	67	1.12629e-15
5	68	1.11367e-15
5	69	1.11458e-15
5	70	1.11248e-15
5	71	1.1231e-15
5	72	1.12363e-15
5	73	1.12669e-15
5	74	1.13573e-15
5	75	1.13157e-15
5	76	1.1377e-15
5	77	1.13011e-15
5	78	1.14258e-15
5	79	1.14179e-15
5	80	1.15618e-15
5	81	1.14326e-15
5	82	1.14464e-15
5	83	1.14264e-15
5	84	1.14656e-15
5	85	1.16351e-15
5	86	1.15813e-15
5	87	1.1643e-15
5	88	1.16318e-15
5	89	1.17266e-15
5	90	1.16572e-15
5	91	1.17705e-15
5	92	1.16619e-15
5	93	1.16792e-15
5	94	1.17352e-15
5	95	1.17128e-15
5	96	1.17154e-15
5	97	1.17019e-15
5	98	1.17944e-15
5	99	1.1804e-15

6	0	1.01781e-15
6	1	1.08813e-15
6	2	1.08695e-15
6	3	1.09064e-15
6	4	1.09893e-15
6	5	1.0929e-15
6	6	1.09086e-15
6	7	1.09984e-15
6	8	1.10714e-15
6	9	1.11059e-15
