#1:kx	2:n	3:s(n)
0	0	1.2323e-17
0	1	1.24884e-17
0	2	1.26945e-17
0	3	1.26177e-17
0	4	1.25823e-17
0	5	1.29259e-17
0	6	1.28162e-17
0	7	1.27207e-17
0	8	1.21884e-17
0	9	1.24664e-17
0	10	1.29249e-17
0	11	1.3811e-17
0	12	1.26679e-17
0	13	1.28479e-17
0	14	1.39025e-17
0	15	1.27071e-17
0	16	1.32443e-17
0	17	1.30311e-17
0	18	1.30038e-17
0	19	1.40653e-17
0	20	1.42537e-17
0	21	1.40904e-17
0	22	1.4084e-17
0	23	1.35958e-17
0	24	1.31018e-17
0	25	1.37219e-17
0	26	1.37682e-17
0	27	1.34472e-17
0	28	1.3135e-17
0	29	1.32513e-17
0	30	1.33426e-17
0	31	1.3052e-17
0	32	1.43322e-17
0	33	1.3796e-17
0	34	1.3869e-17
0	35	1.41823e-17
0	36	1.43258e-17
0	37	1.37727e-17
0	38	1.32912e-17
0	39	1.38692e-17
0	40	1.42863e-17
0	41	1.41235e-17
0	42	1.43834e-17
0	43	1.41983e-17
0	44	1.448e-17
0	45	1.44182e-17
0	46	1.41936e-17
0	47	1.43298e-17
0	48	1.42925e-17
0	49	1.38912e-17
0	50	1.39861e-17
0	51	1.33416e-17
0	52	1.38036e-17
0	53	1.43935e-17
0	54	1.34812e-17
0	55	1.41441e-17
0	56	1.43172e-17
0	57	1.41021e-17
0	58	1.40142e-17
0	59	1.39458e-17
0	60	1.40311e-17
0	61	1.38627e-17
0	62	1.35752e-17
0	63	1.41555e-17
0	64	1.40118e-17
0	65	1.30891e-17
0	66	1.37377e-17
0	67	1.37083e-17
0	68	1.3269e-17
0	69	1.32156e-17
0	70	1.34742e-17
0	71	1.34843e-17
0	72	1.29945e-17
0	73	1.39812e-17
0	74	1.34012e-17
0	75	1.37179e-17
0	76	1.36417e-17
0	77	1.44743e-17
0	78	1.44234e-17
0	79	1.32621e-17
0	80	1.37504e-17
0	81	1.32145e-17
0	82	1.36274e-17
0	83	1.39998e-17
0	84	1.37507e-17
0	85	1.38674e-17
0	86	1.36541e-17
0	87	1.36007e-17
0	88	1.35231e-17
0	89	1.46377e-17
0	90	1.35957e-17
0	91	1.37955e-17
0	92	1.38699e-17
0	93	1.40169e-17
0	94	1.32705e-17
0	95	1.45361e-17
0	96	1.40584e-17
0	97	1.3107e-17
0	98	1.36184e-17
0	99	1.32539e-17

1	0	1.28025e-17
1	1	1.36341e-17
1	2	1.35967e-17
1	3	1.36975e-17
1	4	1.37501e-17
1	5	1.36517e-17
1	6	1.36893e-17
1	7	1.37463e-17
1	8	1.36888e-17
1	9	1.37691e-17
1	10	1.38883e-17
1	11	1.38864e-17
1	12	1.40077e-17
1	13	1.39591e-17
1	14	1.39664e-17
1	15	1.39134e-17
1	16	1.397e-17
1	17	1.39684e-17
1	18	1.37888e-17
1	19	1.41186e-17
1	20	1.42633e-17
1	21	1.42999e-17
1	22	1.41082e-17
1	23	1.42319e-17
1	24	1.42233e-17
1	25	1.41929e-17
1	26	1.43558e-17
1	27	1.43264e-17
1	28	1.43731e-17
1	29	1.39893e-17
1	30	1.44119e-17
1	31	1.43674e-17
1	32	1.44249e-17
1	33	1.40088e-17
1	34	1.41723e-17
1	35	1.43826e-17
1	36	1.43598e-17
1	37	1.44811e-17
1	38	1.43637e-17
1	39	1.43272e-17
1	40	1.43039e-17
1	41	1.41904e-17
1	42	1.4384e-17
1	43	1.43538e-17
1	44	1.45349e-17
1	45	1.45636e-17
1	46	1.43382e-17
1	47	1.44356e-17
1	48	1.43544e-17
1	49	1.44326e-17
1	50	1.42764e-17
1	51	1.43713e-17
1	52	1.42483e-17
1	53	1.45315e-17
1	54	1.44465e-17
1	55	1.41813e-17
1	56	1.43354e-17
1	57	1.41182e-17
1	58	1.40499e-17
1	59	1.40176e-17
1	60	1.42042e-17
1	61	1.41574e-17
1	62	1.43095e-17
1	63	1.43004e-17
1	64	1.41727e-17
1	65	1.42047e-17
1	66	1.43543e-17
1	67	1.43669e-17
1	68	1.43872e-17
1	69	1.43005e-17
1	70	1.44061e-17
1	71	1.42683e-17
1	72	1.42568e-17
1	73	1.43931e-17
1	74	1.43958e-17
1	75	1.43477e-17
1	76	1.44449e-17
1	77	1.44901e-17
1	78	1.44955e-17
1	79	1.44406e-17
1	80	1.46594e-17
1	81	1.43087e-17
1	82	1.4473e-17
1	83	1.44271e-17
1	84	1.45067e-17
1	85	1.47539e-17
1	86	1.46474e-17
1	87	1.46079e-17
1	88	1.45559e-17
1	89	1.47628e-17
1	90	1.42926e-17
1	91	1.46707e-17
1	92	1.45541e-17
1	93	1.45247e-17
1	94	1.46546e-17
1	95	1.46201e-17
1	96	1.45043e-17
1	97	1.44221e-17
1	98	1.47227e-17
1	99	1.47731e-17

2	0	1.28179e-17
2	1	1.36976e-17
2	2	1.37031e-17
2	3	1.38546e-17
2	4	1.38072e-17
2	5	1.36936e-17
2	6	1.37322e-17
2	7	1.38235e-17
2	8	1.3809e-17
2	9	1.37907e-17
2	10	1.38943e-17
2	11	1.39122e-17
2	12	1.4065e-17
2	13	1.39677e-17
2	14	1.40623e-17
2	15	1.4035e-17
2	16	1.41331e-17
2	17	1.40861e-17
2	18	1.40528e-17
2	19	1.42505e-17
2	20	1.43019e-17
2	21	1.44395e-17
2	22	1.42015e-17
2	23	1.42464e-17
2	24	1.42823e-17
2	25	1.42442e-17
2	26	1.43835e-17
2	27	1.43325e-17
2	28	1.44045e-17
2	29	1.45232e-17
2	30	1.44186e-17
2	31	1.43855e-17
2	32	1.4515e-17
2	33	1.41803e-17
2	34	1.41914e-17
2	35	1.43882e-17
2	36	1.44247e-17
2	37	1.45251e-17
2	38	1.44857e-17
2	39	1.44409e-17
2	40	1.44007e-17
2	41	1.42771e-17
2	42	1.43841e-17
2	43	1.43734e-17
2	44	1.46341e-17
2	45	1.4564e-17
2	46	1.45359e-17
2	47	1.44704e-17
2	48	1.43606e-17
2	49	1.46139e-17
2	50	1.43651e-17
2	51	1.4398e-17
2	52	1.43732e-17
2	53	1.46026e-17
2	54	1.44724e-17
2	55	1.42775e-17
2	56	1.43552e-17
2	57	1.41427e-17
2	58	1.41136e-17
2	59	1.42208e-17
2	60	1.4241e-17
2	61	1.42567e-17
2	62	1.43726e-17
2	63	1.44233e-17
2	64	1.42865e-17
2	65	1.42869e-17
2	66	1.44766e-17
2	67	1.44315e-17
2	68	1.44682e-17
2	69	1.44123e-17
2	70	1.44218e-17
2	71	1.44493e-17
2	72	1.43636e-17
2	73	1.44663e-17
2	74	1.44677e-17
2	75	1.43751e-17
2	76	1.45725e-17
2	77	1.45069e-17
2	78	1.45316e-17
2	79	1.45345e-17
2	80	1.47606e-17
2	81	1.4572e-17
2	82	1.45518e-17
2	83	1.44607e-17
2	84	1.4507e-17
2	85	1.47786e-17
2	86	1.47151e-17
2	87	1.46695e-17
2	88	1.46451e-17
2	89	1.47758e-17
2	90	1.45283e-17
2	91	1.47939e-17
2	92	1.46058e-17
2	93	1.45558e-17
2	94	1.4801e-17
2	95	1.46832e-17
2	96	1.47831e-17
2	97	1.46036e-17
2	98	1.487e-17
2	99	1.47912e-17

3	0	1.28482e-17
3	1	1.37388e-17
3	2	1.37115e-17
3	3	1.386e-17
3	4	1.3808e-17
3	5	1.37712e-17
3	6	1.37522e-17
3	7	1.38244e-17
3	8	1.38978e-17
3	9	1.38445e-17
3	10	1.39264e-17
3	11	1.39488e-17
3	12	1.40758e-17
3	13	1.40155e-17
3	14	1.41378e-17
3	15	1.41252e-17
3	16	1.41651e-17
3	17	1.42256e-17
3	18	1.42256e-17
3	19	1.42695e-17
3	20	1.43932e-17
3	21	1.44436e-17
3	22	1.42374e-17
3	23	1.44005e-17
3	24	1.43029e-17
3	25	1.44592e-17
