#1:n	2:kx	3:s(n,kx)
0	0	7.06546e-16
0	1	7.30111e-16
0	2	8.14697e-16
0	3	8.00265e-16
0	4	7.47032e-16
0	5	7.10839e-16
0	6	7.48316e-16
0	7	8.13137e-16
0	8	8.20603e-16
0	9	8.15044e-16
0	10	8.04319e-16
0	11	7.92717e-16
0	12	7.80384e-16
0	13	7.67506e-16
0	14	7.63054e-16
0	15	7.52846e-16
0	16	7.35366e-16
0	17	7.51918e-16
0	18	7.69944e-16
0	19	7.58979e-16
0	20	7.592e-16
0	21	7.58183e-16
0	22	7.29043e-16
0	23	7.75346e-16
0	24	7.14834e-16
0	25	7.56117e-16
0	26	7.29924e-16
0	27	7.68794e-16
0	28	7.77301e-16
0	29	7.31515e-16
0	30	7.62545e-16
0	31	7.44402e-16
0	32	7.63817e-16
0	33	7.77824e-16
0	34	7.1628e-16
0	35	7.24792e-16
0	36	8.17365e-16
0	37	8.29182e-16
0	38	7.61849e-16
0	39	8.50217e-16
0	40	7.84673e-16
0	41	8.16767e-16
0	42	8.74813e-16
0	43	7.95197e-16
0	44	8.07378e-16
0	45	8.1743e-16
0	46	8.67465e-16
0	47	7.3471e-16
0	48	7.63559e-16
0	49	7.79656e-16
0	50	7.51309e-16
0	51	7.56288e-16
0	52	7.64098e-16
0	53	8.17202e-16
0	54	7.92918e-16
0	55	7.75551e-16
0	56	8.31854e-16
0	57	7.48832e-16
0	58	7.42551e-16
0	59	8.67552e-16
0	60	8.0849e-16
0	61	7.7979e-16
0	62	8.40151e-16
0	63	7.63671e-16
0	64	8.17365e-16
0	65	8.04781e-16
0	66	7.91548e-16
0	67	7.77824e-16
0	68	7.63817e-16
0	69	7.69698e-16
0	70	7.58348e-16
0	71	7.32866e-16
0	72	7.54345e-16
0	73	7.75094e-16
0	74	7.7848e-16
0	75	7.78134e-16
0	76	7.86353e-16
0	77	7.44731e-16
0	78	7.97805e-16
0	79	7.61752e-16
0	80	7.77092e-16
0	81	7.98643e-16
0	82	7.25104e-16
0	83	7.36975e-16
0	84	7.59694e-16
0	85	7.88692e-16
0	86	7.89729e-16
0	87	8.00142e-16
0	88	7.94263e-16
0	89	7.92717e-16
0	90	8.04319e-16
0	91	8.15044e-16
0	92	7.94292e-16
0	93	8.33471e-16
0	94	7.84925e-16
0	95	8.47479e-16
0	96	7.92981e-16
0	97	8.56855e-16
0	98	8.59786e-16
0	99	8.61545e-16

1	0	8.62131e-16
1	1	8.61545e-16
1	2	8.59786e-16
1	3	8.56855e-16
1	4	8.52751e-16
1	5	8.47479e-16
1	6	8.41046e-16
1	7	8.33471e-16
1	8	8.24787e-16
1	9	8.15044e-16
1	10	8.04319e-16
1	11	7.92717e-16
1	12	7.80384e-16
1	13	7.67506e-16
1	14	7.67271e-16
1	15	7.53992e-16
1	16	7.58444e-16
1	17	7.64149e-16
1	18	7.70077e-16
1	19	7.7169e-16
1	20	7.63862e-16
1	21	7.78107e-16
1	22	7.80367e-16
1	23	7.75466e-16
1	24	7.79295e-16
1	25	7.64198e-16
1	26	7.72939e-16
1	27	7.68865e-16
1	28	7.78811e-16
1	29	7.66962e-16
1	30	7.67733e-16
1	31	7.49777e-16
1	32	7.63817e-16
1	33	7.77824e-16
1	34	7.91548e-16
1	35	8.04781e-16
1	36	8.17365e-16
1	37	8.29182e-16
1	38	8.40151e-16
1	39	8.50217e-16
1	40	8.59354e-16
1	41	8.67552e-16
1	42	8.74813e-16
1	43	8.81151e-16
1	44	8.86584e-16
1	45	8.91133e-16
1	46	8.94821e-16
1	47	8.97665e-16
1	48	8.99684e-16
1	49	9.00891e-16
1	50	9.01292e-16
1	51	9.00891e-16
1	52	8.99684e-16
1	53	8.97665e-16
1	54	8.94821e-16
1	55	8.91133e-16
1	56	8.86584e-16
1	57	8.81151e-16
1	58	8.74813e-16
1	59	8.67552e-16
1	60	8.59354e-16
1	61	8.50217e-16
1	62	8.40151e-16
1	63	8.29182e-16
1	64	8.17365e-16
1	65	8.04781e-16
1	66	7.91548e-16
1	67	7.77824e-16
1	68	7.65942e-16
1	69	7.72424e-16
1	70	7.77079e-16
1	71	7.61366e-16
1	72	7.79828e-16
1	73	7.81434e-16
1	74	7.82055e-16
1	75	7.83891e-16
1	76	7.87914e-16
1	77	7.95603e-16
1	78	7.9972e-16
1	79	8.02058e-16
1	80	8.00564e-16
1	81	8.0089e-16
1	82	8.0175e-16
1	83	7.91063e-16
1	84	7.97133e-16
1	85	7.91348e-16
1	86	7.98785e-16
1	87	8.02083e-16
1	88	7.94962e-16
1	89	7.93912e-16
1	90	8.04319e-16
1	91	8.15044e-16
1	92	8.24787e-16
1	93	8.33471e-16
1	94	8.41046e-16
1	95	8.47479e-16
1	96	8.52751e-16
1	97	8.56855e-16
1	98	8.59786e-16
1	99	8.61545e-16

2	0	8.62131e-16
2	1	8.61545e-16
2	2	8.59786e-16
2	3	8.56855e-16
2	4	8.52751e-16
2	5	8.47479e-16
2	6	8.41046e-16
2	7	8.33471e-16
2	8	8.24787e-16
2	9	8.15044e-16
2	10	8.04319e-16
2	11	7.92717e-16
2	12	7.80384e-16
2	13	7.67506e-16
2	14	7.69101e-16
2	15	7.62072e-16
2	16	7.75551e-16
2	17	7.65951e-16
2	18	7.72725e-16
2	19	7.77909e-16
2	20	7.7655e-16
2	21	7.87165e-16
2	22	7.82743e-16
2	23	7.77858e-16
2	24	7.83628e-16
2	25	7.67378e-16
2	26	7.74194e-16
2	27	7.77853e-16
2	28	7.80299e-16
2	29	7.67198e-16
2	30	7.69835e-16
2	31	7.53437e-16
2	32	7.67132e-16
2	33	7.77824e-16
2	34	7.91548e-16
2	35	8.04781e-16
2	36	8.17365e-16
2	37	8.29182e-16
2	38	8.40151e-16
2	39	8.50217e-16
2	40	8.59354e-16
2	41	8.67552e-16
2	42	8.74813e-16
2	43	8.81151e-16
2	44	8.86584e-16
