#1:kx	2:n	3:s(n)
0	0	8.05514e-18
0	1	9.18421e-18
0	2	9.68767e-18
0	3	9.97657e-18
0	4	9.14638e-18
0	5	8.63074e-18
0	6	9.20355e-18
0	7	8.96312e-18
0	8	9.67908e-18
0	9	9.13489e-18
0	10	9.40977e-18
0	11	9.22741e-18
0	12	9.03687e-18
0	13	8.84128e-18
0	14	8.76249e-18
0	15	8.66994e-18
0	16	8.35094e-18
0	17	8.71577e-18
0	18	8.63764e-18
0	19	8.79383e-18
0	20	8.86549e-18
0	21	8.41209e-18
0	22	8.32604e-18
0	23	8.7722e-18
0	24	8.69843e-18
0	25	8.46485e-18
0	26	8.35602e-18
0	27	8.15848e-18
0	28	8.02713e-18
0	29	9.05579e-18
0	30	8.55653e-18
0	31	8.27562e-18
0	32	8.94622e-18
0	33	8.91791e-18
0	34	9.41378e-18
0	35	9.22314e-18
0	36	9.86931e-18
0	37	1.00856e-17
0	38	9.83442e-18
0	39	1.04851e-17
0	40	1.06652e-17
0	41	9.20427e-18
0	42	1.07661e-17
0	43	9.99934e-18
0	44	1.02807e-17
0	45	1.05711e-17
0	46	9.71772e-18
0	47	9.5665e-18
0	48	1.07116e-17
0	49	1.11247e-17
0	50	9.46865e-18
0	51	9.39556e-18
0	52	1.00032e-17
0	53	1.0344e-17
0	54	1.03254e-17
0	55	9.97174e-18
0	56	9.65587e-18
0	57	9.45472e-18
0	58	9.69872e-18
0	59	1.01164e-17
0	60	1.04373e-17
0	61	1.04851e-17
0	62	9.58665e-18
0	63	1.00856e-17
0	64	9.86931e-18
0	65	9.58318e-18
0	66	9.30859e-18
0	67	8.35117e-18
0	68	9.07503e-18
0	69	7.97383e-18
0	70	8.76195e-18
0	71	8.82822e-18
0	72	8.804e-18
0	73	8.79207e-18
0	74	8.86852e-18
0	75	8.80762e-18
0	76	9.00278e-18
0	77	8.84938e-18
0	78	8.15417e-18
0	79	9.08967e-18
0	80	9.06166e-18
0	81	8.99087e-18
0	82	8.32551e-18
0	83	9.16183e-18
0	84	8.65592e-18
0	85	9.09041e-18
0	86	8.91732e-18
0	87	8.81652e-18
0	88	9.26178e-18
0	89	9.34332e-18
0	90	9.40977e-18
0	91	9.58127e-18
0	92	9.73966e-18
0	93	9.50646e-18
0	94	1.00101e-17
0	95	1.01193e-17
0	96	1.02099e-17
0	97	1.02811e-17
0	98	1.03323e-17
0	99	9.85297e-18

