#1:n	2:kx	3:s(n,kx)
0	0	5.82429e-16
0	1	6.1871e-16
0	2	6.32494e-16
0	3	6.15095e-16
0	4	6.71944e-16
0	5	5.96656e-16
0	6	6.5605e-16
0	7	6.14751e-16
0	8	6.74701e-16
0	9	6.30905e-16
0	10	6.76693e-16
0	11	6.77826e-16
0	12	6.07527e-16
0	13	6.6125e-16
0	14	6.81705e-16
0	15	6.83136e-16
0	16	6.84626e-16
0	17	6.20384e-16
0	18	6.87754e-16
0	19	6.89378e-16
0	20	6.2654e-16
0	21	6.4104e-16
0	22	6.72006e-16
0	23	6.23805e-16
0	24	6.97809e-16
0	25	6.72591e-16
0	26	6.17937e-16
0	27	6.7711e-16
0	28	6.59341e-16
0	29	6.28715e-16
0	30	6.38489e-16
0	31	6.5148e-16
0	32	6.57173e-16
0	33	6.6808e-16
0	34	6.39141e-16
0	35	6.22303e-16
0	36	6.29919e-16
0	37	7.01907e-16
0	38	5.99583e-16
0	39	6.20454e-16
0	40	6.64252e-16
0	41	6.62589e-16
0	42	6.07378e-16
0	43	6.74179e-16
0	44	6.01463e-16
0	45	6.25562e-16
0	46	6.22313e-16
0	47	5.97105e-16
0	48	6.83604e-16
0	49	7.01821e-16
0	50	7.25165e-16
0	51	6.51643e-16
0	52	6.70628e-16
0	53	6.25861e-16
0	54	7.02288e-16
0	55	6.23048e-16
0	56	6.03553e-16
0	57	6.39081e-16
0	58	6.35131e-16
0	59	6.60398e-16
0	60	6.66356e-16
0	61	6.25904e-16
0	62	6.12811e-16
0	63	6.47904e-16
0	64	6.36486e-16
0	65	6.25263e-16
0	66	6.64e-16
0	67	6.25353e-16
0	68	6.53039e-16
0	69	6.33747e-16
0	70	6.31544e-16
0	71	6.36137e-16
0	72	6.69029e-16
0	73	6.27436e-16
0	74	6.17433e-16
0	75	6.34828e-16
0	76	6.3514e-16
0	77	6.31227e-16
0	78	6.3161e-16
0	79	6.46851e-16
0	80	6.4159e-16
0	81	6.89378e-16
0	82	6.57174e-16
0	83	6.86168e-16
0	84	6.84626e-16
0	85	6.83136e-16
0	86	6.60898e-16
0	87	6.48921e-16
0	88	6.79043e-16
0	89	6.77826e-16
0	90	6.76693e-16
0	91	6.7565e-16
0	92	6.74701e-16
0	93	6.73852e-16
0	94	6.73107e-16
0	95	6.7247e-16
0	96	6.71944e-16
0	97	6.71532e-16
0	98	6.40166e-16
0	99	6.51334e-16

1	0	6.92662e-16
1	1	6.71058e-16
1	2	6.71237e-16
1	3	6.71532e-16
1	4	6.71944e-16
1	5	6.7247e-16
1	6	6.73107e-16
1	7	6.73852e-16
1	8	6.74701e-16
1	9	6.7565e-16
1	10	6.76693e-16
1	11	6.77826e-16
1	12	6.79043e-16
1	13	6.80338e-16
1	14	6.81705e-16
1	15	6.83136e-16
1	16	6.84626e-16
1	17	6.86168e-16
1	18	6.87754e-16
1	19	6.89378e-16
1	20	6.91032e-16
1	21	6.92709e-16
1	22	6.94402e-16
1	23	6.96105e-16
1	24	6.97809e-16
1	25	6.9951e-16
1	26	7.01198e-16
1	27	7.0287e-16
1	28	7.04517e-16
1	29	7.06134e-16
1	30	7.07716e-16
1	31	7.09256e-16
1	32	7.10749e-16
1	33	7.12191e-16
1	34	7.13576e-16
1	35	7.149e-16
1	36	7.16158e-16
1	37	7.17347e-16
1	38	7.18462e-16
1	39	7.19501e-16
1	40	7.2046e-16
1	41	7.21337e-16
1	42	7.22128e-16
1	43	7.22831e-16
1	44	7.23445e-16
1	45	7.23968e-16
1	46	7.24397e-16
1	47	7.24732e-16
1	48	7.24972e-16
1	49	7.25117e-16
1	50	7.25165e-16
1	51	7.25117e-16
1	52	7.24972e-16
1	53	7.24732e-16
1	54	7.24397e-16
1	55	7.23968e-16
1	56	7.23445e-16
1	57	7.22831e-16
1	58	7.22128e-16
1	59	7.21337e-16
1	60	7.2046e-16
1	61	7.19501e-16
1	62	7.18462e-16
1	63	7.17347e-16
1	64	7.16158e-16
1	65	7.149e-16
1	66	7.13576e-16
1	67	7.12191e-16
1	68	7.10749e-16
1	69	7.09256e-16
1	70	7.07716e-16
1	71	7.06134e-16
1	72	7.04517e-16
1	73	7.0287e-16
1	74	7.01198e-16
1	75	6.9951e-16
1	76	6.97809e-16
1	77	6.96105e-16
1	78	6.94402e-16
1	79	6.92709e-16
1	80	6.91032e-16
1	81	6.89378e-16
1	82	6.87754e-16
1	83	6.86168e-16
1	84	6.84626e-16
1	85	6.83136e-16
1	86	6.81705e-16
1	87	6.80338e-16
1	88	6.79043e-16
1	89	6.77826e-16
1	90	6.76693e-16
1	91	6.7565e-16
1	92	6.74701e-16
1	93	6.73852e-16
1	94	6.73107e-16
1	95	6.7247e-16
1	96	6.71944e-16
1	97	6.71532e-16
1	98	6.71237e-16
1	99	6.71058e-16

2	0	6.92662e-16
2	1	6.71058e-16
2	2	6.71237e-16
2	3	6.71532e-16
2	4	6.71944e-16
2	5	6.7247e-16
2	6	6.73107e-16
2	7	6.73852e-16
2	8	6.74701e-16
2	9	6.7565e-16
2	10	6.76693e-16
2	11	6.77826e-16
2	12	6.79043e-16
2	13	6.80338e-16
2	14	6.81705e-16
2	15	6.83136e-16
2	16	6.84626e-16
2	17	6.86168e-16
2	18	6.87754e-16
2	19	6.89378e-16
2	20	6.91032e-16
2	21	6.92709e-16
2	22	6.94402e-16
2	23	6.96105e-16
2	24	6.97809e-16
2	25	6.9951e-16
2	26	7.01198e-16
2	27	7.0287e-16
2	28	7.04517e-16
2	29	7.06134e-16
2	30	7.07716e-16
2	31	7.09256e-16
2	32	7.10749e-16
2	33	7.12191e-16
2	34	7.13576e-16
2	35	7.149e-16
2	36	7.16158e-16
2	37	7.17347e-16
2	38	7.18462e-16
2	39	7.19501e-16
2	40	7.2046e-16
2	41	7.21337e-16
2	42	7.22128e-16
2	43	7.22831e-16
2	44	7.23445e-16
2	45	7.23968e-16
2	46	7.24397e-16
2	47	7.24732e-16
2	48	7.24972e-16
2	49	7.25117e-16
2	50	7.25165e-16
2	51	7.25117e-16
2	52	7.24972e-16
2	53	7.24732e-16
2	54	7.24397e-16
2	55	7.23968e-16
2	56	7.23445e-16
2	57	7.22831e-16
2	58	7.22128e-16
2	59	7.21337e-16
2	60	7.2046e-16
2	61	7.19501e-16
2	62	7.18462e-16
2	63	7.17347e-16
2	64	7.16158e-16
2	65	7.149e-16
2	66	7.13576e-16
2	67	7.12191e-16
2	68	7.10749e-16
2	69	7.09256e-16
2	70	7.07716e-16
2	71	7.06134e-16
2	72	7.04517e-16
2	73	7.0287e-16
2	74	7.01198e-16
2	75	6.9951e-16
2	76	6.97809e-16
2	77	6.96105e-16
2	78	6.94402e-16
2	79	6.92709e-16
2	80	6.91032e-16
2	81	6.89378e-16
2	82	6.87754e-16
2	83	6.86168e-16
2	84	6.84626e-16
2	85	6.83136e-16
2	86	6.81705e-16
2	87	6.80338e-16
2	88	6.79043e-16
2	89	6.77826e-16
2	90	6.76693e-16
2	91	6.7565e-16
2	92	6.74701e-16
2	93	6.73852e-16
2	94	6.73107e-16
2	95	6.7247e-16
2	96	6.71944e-16
2	97	6.71532e-16
2	98	6.71237e-16
2	99	6.71058e-16

3	0	6.92662e-16
3	1	6.71058e-16
3	2	6.71237e-16
3	3	6.71532e-16
3	4	6.71944e-16
3	5	6.7247e-16
3	6	6.73107e-16
3	7	6.73852e-16
3	8	6.74701e-16
3	9	6.7565e-16
3	10	6.76693e-16
3	11	6.77826e-16
3	12	6.79043e-16
3	13	6.80338e-16
3	14	6.81705e-16
3	15	6.83136e-16
3	16	6.84626e-16
3	17	6.86168e-16
3	18	6.87754e-16
3	19	6.89378e-16
3	20	6.91032e-16
3	21	6.92709e-16
3	22	6.94402e-16
3	23	6.96105e-16
3	24	6.97809e-16
3	25	6.9951e-16
3	26	7.01198e-16
3	27	7.0287e-16
3	28	7.04517e-16
3	29	7.06134e-16
3	30	7.07716e-16
3	31	7.09256e-16
3	32	7.10749e-16
3	33	7.12191e-16
3	34	7.13576e-16
3	35	7.149e-16
3	36	7.16158e-16
3	37	7.17347e-16
3	38	7.18462e-16
3	39	7.19501e-16
3	40	7.2046e-16
3	41	7.21337e-16
3	42	7.22128e-16
3	43	7.22831e-16
3	44	7.23445e-16
3	45	7.23968e-16
3	46	7.24397e-16
3	47	7.24732e-16
3	48	7.24972e-16
3	49	7.25117e-16
3	50	7.25165e-16
3	51	7.25117e-16
3	52	7.24972e-16
3	53	7.24732e-16
3	54	7.24397e-16
3	55	7.23968e-16
3	56	7.23445e-16
3	57	7.22831e-16
3	58	7.22128e-16
3	59	7.21337e-16
3	60	7.2046e-16
3	61	7.19501e-16
3	62	7.18462e-16
3	63	7.17347e-16
3	64	7.16158e-16
3	65	7.149e-16
3	66	7.13576e-16
3	67	7.12191e-16
3	68	7.10749e-16
3	69	7.09256e-16
3	70	7.07716e-16
3	71	7.06134e-16
3	72	7.04517e-16
3	73	7.0287e-16
3	74	7.01198e-16
3	75	6.9951e-16
3	76	6.97809e-16
3	77	6.96105e-16
3	78	6.94402e-16
3	79	6.92709e-16
3	80	6.91032e-16
3	81	6.89378e-16
3	82	6.87754e-16
3	83	6.86168e-16
3	84	6.84626e-16
3	85	6.83136e-16
3	86	6.81705e-16
3	87	6.80338e-16
3	88	6.79043e-16
3	89	6.77826e-16
3	90	6.76693e-16
3	91	6.7565e-16
3	92	6.74701e-16
3	93	6.73852e-16
3	94	6.73107e-16
3	95	6.7247e-16
3	96	6.71944e-16
3	97	6.71532e-16
3	98	6.71237e-16
3	99	6.71058e-16

4	0	6.92662e-16
4	1	6.71058e-16
4	2	6.71237e-16
4	3	6.71532e-16
4	4	6.71944e-16
4	5	6.7247e-16
4	6	6.73107e-16
4	7	6.73852e-16
4	8	6.74701e-16
4	9	6.7565e-16
4	10	6.76693e-16
4	11	6.77826e-16
4	12	6.79043e-16
4	13	6.80338e-16
4	14	6.81705e-16
4	15	6.83136e-16
4	16	6.84626e-16
4	17	6.86168e-16
4	18	6.87754e-16
4	19	6.89378e-16
4	20	6.91032e-16
4	21	6.92709e-16
4	22	6.94402e-16
4	23	6.96105e-16
4	24	6.97809e-16
4	25	6.9951e-16
4	26	7.01198e-16
4	27	7.0287e-16
4	28	7.04517e-16
4	29	7.06134e-16
4	30	7.07716e-16
4	31	7.09256e-16
4	32	7.10749e-16
4	33	7.12191e-16
4	34	7.13576e-16
4	35	7.149e-16
4	36	7.16158e-16
4	37	7.17347e-16
4	38	7.18462e-16
4	39	7.19501e-16
4	40	7.2046e-16
4	41	7.21337e-16
4	42	7.22128e-16
4	43	7.22831e-16
4	44	7.23445e-16
4	45	7.23968e-16
4	46	7.24397e-16
4	47	7.24732e-16
4	48	7.24972e-16
4	49	7.25117e-16
4	50	7.25165e-16
4	51	7.25117e-16
4	52	7.24972e-16
4	53	7.24732e-16
4	54	7.24397e-16
4	55	7.23968e-16
4	56	7.23445e-16
4	57	7.22831e-16
4	58	7.22128e-16
4	59	7.21337e-16
4	60	7.2046e-16
4	61	7.19501e-16
4	62	7.18462e-16
4	63	7.17347e-16
4	64	7.16158e-16
4	65	7.149e-16
4	66	7.13576e-16
4	67	7.12191e-16
4	68	7.10749e-16
4	69	7.09256e-16
4	70	7.07716e-16
4	71	7.06134e-16
4	72	7.04517e-16
4	73	7.0287e-16
4	74	7.01198e-16
4	75	6.9951e-16
4	76	6.97809e-16
4	77	6.96105e-16
4	78	6.94402e-16
4	79	6.92709e-16
4	80	6.91032e-16
4	81	6.89378e-16
4	82	6.87754e-16
4	83	6.86168e-16
4	84	6.84626e-16
4	85	6.83136e-16
4	86	6.81705e-16
4	87	6.80338e-16
4	88	6.79043e-16
4	89	6.77826e-16
4	90	6.76693e-16
4	91	6.7565e-16
4	92	6.74701e-16
4	93	6.73852e-16
4	94	6.73107e-16
4	95	6.7247e-16
4	96	6.71944e-16
4	97	6.71532e-16
4	98	6.71237e-16
4	99	6.71058e-16

5	0	6.92662e-16
5	1	6.71058e-16
5	2	6.71237e-16
5	3	6.71532e-16
5	4	6.71944e-16
5	5	6.7247e-16
5	6	6.73107e-16
5	7	6.73852e-16
5	8	6.74701e-16
