#1:n	2:kx	3:s(n,kx)
0	0	6.46884e-16
0	1	7.90466e-16
0	2	7.68697e-16
0	3	7.88715e-16
0	4	7.8488e-16
0	5	8.15195e-16
0	6	8.1274e-16
0	7	7.99262e-16
0	8	7.85056e-16
0	9	8.32828e-16
0	10	8.15686e-16
0	11	8.30376e-16
0	12	8.0136e-16
0	13	8.02169e-16
0	14	8.18804e-16
0	15	7.80828e-16
0	16	7.83525e-16
0	17	7.92016e-16
0	18	7.76248e-16
0	19	7.89569e-16
0	20	7.20502e-16
0	21	7.86857e-16
0	22	7.81864e-16
0	23	7.78897e-16
0	24	7.89123e-16
0	25	7.91853e-16
0	26	8.08571e-16
0	27	8.01829e-16
0	28	8.19617e-16
0	29	8.28312e-16
0	30	8.41439e-16
0	31	8.45108e-16
0	32	8.44941e-16
0	33	8.3247e-16
0	34	8.25582e-16
0	35	8.46393e-16
0	36	8.10284e-16
0	37	8.29062e-16
0	38	8.38047e-16
0	39	8.36788e-16

1	0	7.27561e-16
1	1	7.94676e-16
1	2	7.76246e-16
1	3	8.03257e-16
1	4	8.15863e-16
1	5	8.18823e-16
1	6	8.18425e-16
1	7	8.32664e-16
1	8	8.25405e-16
1	9	8.36653e-16
1	10	8.28398e-16
1	11	8.35798e-16
1	12	8.31366e-16
1	13	8.09572e-16
1	14	8.26141e-16
1	15	8.03822e-16
1	16	7.99519e-16
1	17	7.92443e-16
1	18	7.84261e-16
1	19	8.02398e-16
1	20	7.70282e-16
1	21	7.87943e-16
1	22	7.94178e-16
1	23	7.92193e-16
1	24	7.96692e-16
1	25	8.07245e-16
1	26	8.09253e-16
1	27	8.27619e-16
1	28	8.26999e-16
1	29	8.29038e-16
1	30	8.44438e-16
1	31	8.51129e-16
1	32	8.58616e-16
1	33	8.4754e-16
1	34	8.51674e-16
1	35	8.47302e-16
1	36	8.45281e-16
1	37	8.37248e-16
1	38	8.51385e-16
1	39	8.48975e-16

2	0	7.35939e-16
2	1	7.96743e-16
2	2	7.94084e-16
2	3	8.06288e-16
2	4	8.17519e-16
2	5	8.29047e-16
2	6	8.20412e-16
2	7	8.35992e-16
2	8	8.28335e-16
2	9	8.42287e-16
2	10	8.29363e-16
2	11	8.41143e-16
2	12	8.32387e-16
2	13	8.1215e-16
2	14	8.28565e-16
2	15	8.05318e-16
2	16	8.01553e-16
2	17	7.98645e-16
2	18	7.88162e-16
2	19	8.04674e-16
2	20	7.83843e-16
2	21	8.0631e-16
2	22	7.98435e-16
2	23	8.05424e-16
2	24	7.97577e-16
2	25	8.11649e-16
2	26	8.14737e-16
2	27	8.33065e-16
2	28	8.39824e-16
2	29	8.35758e-16
